(1S,10R,11S,14S,15S)-15-methyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-triene-5,14-diol (IUPAC Name) 50-28-2 (CAS Number) Member of Category:  no View Dataset... ;Long-term toxicity to fish   Study result type: experimental study Reliability: 1 (reliable without restriction)   Test guideline, Qualifier: equivalent or similar to Test guideline, Guideline: OECD Guideline 210 (Fish, Early-Life Stage Toxicity Test)  Test organisms (species): Pimephales promelas Total exposure duration: 33 d  Effect concentrations, Endpoint: EC50 Effect concentrations, Effect conc.: > 560 ng/L Effect concentrations, Basis for effect: number hatched  Effect concentrations, Endpoint: EC50 Effect concentrations, Effect conc.: ca. 270 ng/L Effect concentrations, Basis for effect: length  Effect concentrations, Endpoint: EC50 Effect concentrations, Effect conc.: ca. 300 ng/L Effect concentrations, Basis for effect: weight  Effect concentrations, Endpoint: EC50 Effect concentrations, Effect conc.: > 560 ng/L Effect concentrations, Basis for effect: mortality  Effect concentrations, Endpoint: EC10 Effect concentrations, Effect conc.: ca. 290 ng/L Effect concentrations, Basis for effect: number hatched  Effect concentrations, Endpoint: EC10 Effect concentrations, Effect conc.: ca. 160 ng/L Effect concentrations, Basis for effect: length  Effect concentrations, Endpoint: EC10 Effect concentrations, Effect conc.: ca. 83 ng/L Effect concentrations, Basis for effect: weight  Effect concentrations, Endpoint: EC10 Effect concentrations, Effect conc.: ca. 530 ng/L Effect concentrations, Basis for effect: mortality;ECHA CHEM  
(1S,10R,11S,14S,15S)-15-methyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-2,4,6-triene-5,14-diol (IUPAC Name) 50-28-2 (CAS Number) Member of Category:  no View Dataset... ;Toxicity to aquatic algae and cyanobacteria   Study result type: experimental study Reliability: 1 (reliable without restriction)   Test guideline, Qualifier: according to Test guideline, Guideline: OECD Guideline 201 (Alga, Growth Inhibition Test)  Test type: static Total exposure duration: 72 h  Effect concentrations, Endpoint: EC50 Effect concentrations, Effect conc.: > 2.48 mg/L Effect concentrations, Basis for effect: biomass  Effect concentrations, Endpoint: EC50 Effect concentrations, Effect conc.: > 2.48 mg/L Effect concentrations, Basis for effect: growth rate;ECHA CHEM  
(2E)-3-phenylprop-2-enal (IUPAC Name) 104-55-2 (CAS Number) Member of Category:  no View Dataset... ;Long-term toxicity to fish   Study result type: experimental study Reliability: 2 (reliable with restrictions)   Test guideline, Qualifier: equivalent or similar to Test guideline, Guideline: OECD Guideline 210 (Fish, Early-Life Stage Toxicity Test)  Test organisms (species): Oryzias latipes Total exposure duration: 28 d  Effect concentrations, Endpoint: LOEC Effect concentrations, Effect conc.: 66.08 mg/L Effect concentrations, Basis for effect: morphology;ECHA CHEM  
(2E)-3-phenylprop-2-enal (IUPAC Name) 104-55-2 (CAS Number) Member of Category:  no View Dataset... ;Short-term toxicity to aquatic invertebrates   Study result type: experimental study Reliability: 4 (not assignable)   Test guideline, Qualifier: according to Test guideline, Guideline: OECD Guideline 202 (Daphnia sp. Acute Immobilisation Test)  Test organisms (species): Daphnia magna Total exposure duration: 48 h  Effect concentrations, Endpoint: EC50 Effect concentrations, Effect conc.: 3.86 mg/L Effect concentrations, Basis for effect: other: Immobilization;ECHA CHEM  
(2E)-3-phenylprop-2-enal (IUPAC Name) 104-55-2 (CAS Number) Member of Category:  no View Dataset... ;Short-term toxicity to aquatic invertebrates   Study result type: experimental study Reliability: 1 (reliable without restriction)   Test guideline, Qualifier: according to Test guideline, Guideline: OECD Guideline 202 (Daphnia sp. Acute Immobilisation Test)  Test organisms (species): Daphnia magna Total exposure duration: 48 h  Effect concentrations, Endpoint: EC50 Effect concentrations, Effect conc.: 3.21 mg/L Effect concentrations, Basis for effect: mobility;ECHA CHEM  
(2E)-3-phenylprop-2-enal (IUPAC Name) 104-55-2 (CAS Number) Member of Category:  no View Dataset... ;Short-term toxicity to fish   Study result type: experimental study Reliability: 2 (reliable with restrictions)   Test guideline, Qualifier: according to Test guideline, Guideline: OECD Guideline 203 (Fish, Acute Toxicity Test)  Test organisms (species): Poecilia reticulata Total exposure duration: 96 h  Effect concentrations, Endpoint: LC50 Effect concentrations, Effect conc.: > 3.5 mg/L Effect concentrations, Basis for effect: mortality;ECHA CHEM  
(2E)-3-phenylprop-2-enal (IUPAC Name) 104-55-2 (CAS Number) Member of Category:  no View Dataset... ;Toxicity to aquatic algae and cyanobacteria   Study result type: experimental study Reliability: 1 (reliable without restriction)   Test guideline, Qualifier: according to Test guideline, Guideline: OECD Guideline 201 (Alga, Growth Inhibition Test)  Test type: static Total exposure duration: 72 h  Effect concentrations, Endpoint: EC50 Effect concentrations, Effect conc.: 16.09 mg/L Effect concentrations, Basis for effect: growth rate;ECHA CHEM  
(2E)-3-phenylprop-2-enal (IUPAC Name) 104-55-2 (CAS Number) Member of Category:  no View Dataset... ;Toxicity to aquatic algae and cyanobacteria   Study result type: experimental study Reliability: 1 (reliable without restriction)   Test guideline, Qualifier: according to Test guideline, Guideline: OECD Guideline 201 (Alga, Growth Inhibition Test)  Test type: static Total exposure duration: 72 h  Effect concentrations, Endpoint: EC50 Effect concentrations, Effect conc.: 31.6 mg/L Effect concentrations, Basis for effect: growth rate;ECHA CHEM  
(2E)-but-2-enal (IUPAC Name) 4170-30-3 (CAS Number) Member of Category:  no View Dataset... ;Long-term toxicity to fish   Study result type: experimental study Reliability: 1 (reliable without restriction)   Test guideline, Qualifier: according to Test guideline, Guideline: OECD Guideline 210 (Fish, Early-Life Stage Toxicity Test)  Test organisms (species): Oryzias latipes Total exposure duration: 41 d  Effect concentrations, Endpoint: LOEC Effect concentrations, Effect conc.: 0.0623 mg/L Effect concentrations, Basis for effect: no data  Effect concentrations, Endpoint: NOEC Effect concentrations, Effect conc.: 0.0247 mg/L Effect concentrations, Basis for effect: no data;ECHA CHEM  
(2E)-but-2-enal (IUPAC Name) 4170-30-3 (CAS Number) Member of Category:  no View Dataset... ;Short-term toxicity to aquatic invertebrates   Study result type: experimental study Reliability: 1 (reliable without restriction)   Test guideline, Qualifier: according to Test guideline, Guideline: EPA OTS 797.1300 (Aquatic Invertebrate Acute Toxicity Test, Freshwater Daphnids)  Test organisms (species): Daphnia magna Total exposure duration: 48 h  Effect concentrations, Endpoint: NOEC Effect concentrations, Effect conc.: 0.61 mg/L Effect concentrations, Basis for effect: mobility  Effect concentrations, Endpoint: EC50 Effect concentrations, Effect conc.: 2 mg/L Effect concentrations, Basis for effect: mobility;ECHA CHEM  
